City_ID,City,Country,AQI_Value,AQI_Category,CO_AQI_Value,CO_AQI_Category,Ozone_AQI_Value,Ozone_AQI_Category,NO2_AQI_Value,NO2_AQI_Category,PM2.5_AQI_Value,PM2.5_AQI_Category
4261,East Brainerd,United States of America,58,Moderate,1,Good,58,Moderate,0,Good,19,Good
4262,East Hartford,United States of America,51,Moderate,1,Good,46,Good,2,Good,51,Moderate
4263,Ebina,Japan,73,Moderate,1,Good,32,Good,9,Good,73,Moderate
4264,Eccles,United Kingdom of Great Britain and Northern Ireland,37,Good,1,Good,36,Good,1,Good,37,Good
4265,Edewecht,Germany,39,Good,1,Good,39,Good,0,Good,30,Good
4266,Edingen Neckarhausen,Germany,62,Moderate,1,Good,60,Moderate,0,Good,62,Moderate
4267,El Ejido,Spain,38,Good,1,Good,38,Good,0,Good,37,Good
4268,El Mante,Mexico,54,Moderate,1,Good,29,Good,0,Good,54,Moderate
4269,El Paraiso,Honduras,29,Good,1,Good,17,Good,0,Good,29,Good
4270,El Progreso,Honduras,76,Moderate,1,Good,22,Good,0,Good,76,Moderate
4271,El Vendrell,Spain,46,Good,1,Good,46,Good,0,Good,45,Good
4272,Elban,Russian Federation,172,Unhealthy,15,Good,32,Good,11,Good,172,Unhealthy
4273,Elektrenai,Lithuania,35,Good,1,Good,35,Good,0,Good,21,Good
4274,Elmina,Ghana,29,Good,0,Good,23,Good,0,Good,29,Good
4275,Emba,Kazakhstan,58,Moderate,1,Good,37,Good,0,Good,58,Moderate
4276,Rothenbach,Germany,63,Moderate,1,Good,51,Moderate,0,Good,63,Moderate
4277,Round Rock,United States of America,28,Good,0,Good,21,Good,2,Good,28,Good
4278,Rubidoux,United States of America,109,Unhealthy for Sensitive Groups,3,Good,16,Good,19,Good,109,Unhealthy for Sensitive Groups
4279,Ruthen,Germany,54,Moderate,1,Good,43,Good,0,Good,54,Moderate
4280,Sadri,India,154,Unhealthy,1,Good,32,Good,1,Good,154,Unhealthy
4281,Safonovo,Russian Federation,37,Good,1,Good,37,Good,0,Good,15,Good
4282,Sagopshi,Russian Federation,44,Good,1,Good,44,Good,1,Good,32,Good
4283,Saint Malo,France,40,Good,1,Good,31,Good,3,Good,40,Good
4284,Sakrand,Pakistan,149,Unhealthy for Sensitive Groups,1,Good,23,Good,1,Good,149,Unhealthy for Sensitive Groups
4285,Salaberry De Valleyfield,Canada,37,Good,1,Good,26,Good,0,Good,37,Good
4286,Salemi,Italy,57,Moderate,1,Good,57,Moderate,0,Good,56,Moderate
4287,Salgueiro,Brazil,20,Good,0,Good,20,Good,0,Good,15,Good
4288,Samara,Russian Federation,40,Good,1,Good,40,Good,2,Good,25,Good
4289,Sambalpur,India,157,Unhealthy,2,Good,72,Moderate,1,Good,157,Unhealthy
4290,Sambhal,India,164,Unhealthy,5,Good,33,Good,9,Good,164,Unhealthy
4291,Sonamura,India,102,Unhealthy for Sensitive Groups,3,Good,12,Good,8,Good,102,Unhealthy for Sensitive Groups
4292,Sonderborg,Denmark,42,Good,1,Good,42,Good,0,Good,23,Good
